insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1457','24Q2',16.3,1.8,12.5,1.3,0.56,75.9,8.01,2.89,0.63,0.74,697,3.88,4.61,0.62,0.79,454,2.47,9.8,0.28,0.36,0.87,3.29,0.41,1.47);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1457','2023',31.2,-12.1,-28,2.07,-3.66,-63.8,6.64,-6.58,14.2,-8.97,-38.8,45.4,-7.98,5.67,-4.47,-44.1,34.6,-12.2,2.55,-2,11.6,-12.4,5.35,-5.21);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1457','2022',43.4,1.89,4.56,5.73,0.17,3.1,13.2,-0.19,23.1,19.8,601,53.4,45.4,10.1,8.13,405,46.8,38,4.55,3.65,24,19.3,10.6,8.54);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1457','2021',41.5,14.4,53.2,5.56,3.51,171,13.4,5.82,3.3,-5.75,-63.5,7.96,-25.5,2.01,-4.44,-68.9,8.83,-11.7,0.9,-1.99,4.68,-2.66,2.02,-1.08);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1457','2020',27.1,-13.6,-33.5,2.05,-3.5,-63,7.58,-6.05,9.05,2.05,29.3,33.4,16.2,6.44,4.14,180,20.6,6.55,2.89,1.87,7.34,-0.47,3.09,-0.2);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1457','2019',40.7,-7.11,-14.9,5.55,-1.34,-19.5,13.6,-0.78,7,2.6,59,17.2,7.99,2.3,-2.65,-53.5,14,-0.72,1.02,-1.11,7.8,-2.34,3.29,-1.4);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1457','2018',47.8,-2.73,-5.4,6.9,1.41,25.8,14.4,3.57,4.4,2.14,94.2,9.21,4.72,4.95,-1.1,-18.1,14.7,0.72,2.13,-0.39,10.1,-0.7,4.69,-0.98);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1457','2017',50.6,4.73,10.3,5.48,2.59,89.2,10.8,4.52,2.27,2.14,1725,4.48,4.21,6.05,5.37,783,14,13.3,2.52,2.26,10.8,10.3,5.68,5.39);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1457','2016',45.8,1.37,3.08,2.9,-0.19,-6.09,6.33,-0.62,0.12,0.06,102,0.27,0.13,0.69,-3.81,-84.8,0.74,-11.2,0.26,-1.45,0.53,-9.14,0.29,-4.9);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1457','2015',44.5,0.27,0.62,3.09,0.02,0.53,6.94,-0.01,0.06,-1.21,-95.2,0.14,-2.75,4.49,3.61,410,11.9,9.61,1.71,1.37,9.67,7.25,5.19,3.95);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1457','2014',44.2,-0.93,-2.07,3.07,1.15,60.2,6.95,2.7,1.28,1.07,515,2.89,2.43,0.88,-0.93,-51.5,2.32,-1.73,0.34,-0.38,2.43,-2.38,1.25,-1.06);
