insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2032','24Q2',14,-0.17,-1.23,0.75,0.75,55957,5.37,5.36,0.24,0.67,155,1.7,4.76,0.41,0.62,301,2.94,4.39,0.32,0.48,4.91,7.34,4.31,6.45);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2032','2023',28.6,-4.99,-14.8,0.43,-0.65,-59.8,1.52,-1.7,-0.59,-0.76,-445,-2.05,-2.56,-0.21,-0.59,-154,-0.73,-1.86,-0.16,-0.45,-1.24,-3.41,-1.09,-2.93);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2032','2022',33.6,-1.28,-3.67,1.08,-1.93,-64.1,3.22,-5.41,0.17,-1.73,-91,0.51,-4.94,0.38,-1.29,-77.1,1.14,-3.65,0.29,-0.99,2.17,-7.31,1.84,-5.9);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2032','2021',34.9,2.22,6.8,3.01,1.06,54,8.62,2.64,1.9,1.02,115,5.45,2.74,1.67,0.91,120,4.78,2.46,1.28,0.7,9.48,4.99,7.74,4.01);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2032','2020',32.7,4.23,14.9,1.95,0.49,33.1,5.98,0.82,0.89,0.4,80.9,2.71,0.99,0.76,0.29,60.4,2.33,0.66,0.58,0.22,4.49,1.63,3.73,1.34);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2032','2019',28.4,-2.23,-7.27,1.47,0.25,20.8,5.16,1.2,0.49,0.24,96.5,1.72,0.91,0.47,0.31,189,1.67,1.13,0.36,0.23,2.86,1.86,2.39,1.56);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2032','2018',30.7,2.78,9.96,1.21,0.04,3.04,3.96,-0.27,0.25,0.05,27.9,0.81,0.11,0.16,0.01,7.46,0.53,-0.01,0.13,0.01,1,0.08,0.83,0.07);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2032','2017',27.9,-0.47,-1.65,1.18,-0.72,-37.8,4.23,-2.45,0.19,-0.53,-73.2,0.7,-1.86,0.15,-0.58,-79.2,0.55,-2.04,0.12,-0.44,0.92,-3.53,0.76,-2.87);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2032','2016',28.4,-2.19,-7.18,1.9,0.72,61,6.68,2.83,0.73,0.59,436,2.56,2.12,0.73,0.39,114,2.59,1.46,0.56,0.3,4.45,2.34,3.62,1.95);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2032','2015',30.6,-4.27,-12.2,1.18,-0.53,-31,3.85,-1.05,0.14,-0.46,-77.3,0.44,-1.27,0.34,-0.23,-40.2,1.12,-0.52,0.26,-0.18,2.11,-1.37,1.68,-1.11);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2032','2014',34.8,-0.01,-0.04,1.71,0.33,24,4.9,0.95,0.6,0.26,77,1.72,0.75,0.57,0.15,36.8,1.65,0.44,0.44,0.12,3.48,0.93,2.79,0.84);
