insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1532','24Q2',116,40.3,53.4,31.4,14.9,90.9,27.2,5.32,18.6,12.9,229,16.1,8.58,13.8,10.8,363,14.2,8.43,3.63,2.84,18.3,13,6.11,4.47);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1532','2023',176,29.9,20.4,41.2,8.25,25.1,23.4,0.87,17.1,6.61,62.9,9.71,2.53,9.65,1.6,19.9,7.43,0.67,2.56,0.42,7.73,1.82,2.44,0.52);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1532','2022',146,-43.1,-22.7,32.9,-10.8,-24.7,22.5,-0.59,10.5,-8.18,-43.8,7.18,-2.69,8.05,-4.06,-33.5,6.76,-2.14,2.14,-1.08,5.92,-4.37,1.92,-1.64);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1532','2021',189,58.1,44.3,43.7,10.8,32.6,23.1,-2.04,18.7,5.71,44,9.87,-0.02,12.1,6.54,117,8.9,2.87,3.22,1.75,10.3,5.3,3.56,1.75);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1532','2020',131,-6.44,-4.68,33,0.55,1.69,25.1,1.57,13,2.63,25.4,9.89,2.37,5.57,0.49,9.58,6.03,1.22,1.47,0.15,4.99,0.94,1.8,0.17);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1532','2019',138,-43.2,-23.9,32.4,-17.7,-35.4,23.6,-4.19,10.3,-14.3,-57.9,7.51,-6.09,5.09,-13.3,-72.3,4.81,-8.36,1.32,-3.44,4.05,-10.6,1.64,-4.52);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1532','2018',181,35.7,24.6,50.2,11.9,31.2,27.7,1.41,24.6,9.36,61.4,13.6,3.11,18.4,12.3,201,13.2,6.1,4.76,3.18,14.6,8.58,6.16,3.4);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1532','2017',145,4.39,3.12,38.2,-3.05,-7.39,26.3,-2.99,15.2,-5.02,-24.8,10.5,-3.89,6.09,-3.92,-39.1,7.07,-5.01,1.58,-1.02,6.07,-2.99,2.76,-2.01);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1532','2016',141,-33.1,-19,41.3,-1.03,-2.42,29.3,4.99,20.3,-1.81,-8.18,14.4,1.7,10,-0.95,-8.66,12.1,1.42,2.6,-0.2,9.06,-0.54,4.77,-0.15);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1532','2015',174,4.55,2.69,42.3,4.03,10.5,24.3,1.72,22.1,3.24,17.2,12.7,1.57,11,5.61,105,10.7,3.7,2.8,1.44,9.6,3.53,4.92,1.85);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('1532','2014',169,20.2,13.5,38.3,5.61,17.2,22.6,0.7,18.8,4.29,29.5,11.1,1.37,5.35,-26.6,-83.3,6.97,-18.8,1.36,-6.92,6.07,-15.5,3.07,-7.52);
