insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4915','24Q2',290,-17.3,-5.61,48.4,0.85,1.8,16.7,1.21,13.8,0.08,0.61,4.76,0.29,13.1,0.55,4.35,4.82,0.45,2.88,0.1,14.5,-0.48,5.77,0.22);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4915','2023',605,-188,-23.7,95.8,-14,-12.8,15.8,1.98,27.4,-6.02,-18,4.53,0.31,24.9,-2.57,-9.38,4.35,0.73,5.5,-0.6,14.1,-2.43,5.61,-0.32);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4915','2022',792,75.9,10.6,110,16,17.1,13.9,0.77,33.4,5.32,18.9,4.22,0.3,27.4,4.44,19.3,3.62,0.28,6.1,0.97,16.5,1.53,5.93,0.99);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4915','2021',716,34.1,5,93.8,12.7,15.6,13.1,1.2,28.1,5.13,22.3,3.93,0.56,23,3.79,19.7,3.34,0.49,5.13,0.83,15,2.02,4.95,1.07);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4915','2020',682,-124,-15.4,81.1,-13.2,-14,11.9,0.19,23,-4.63,-16.8,3.37,-0.06,19.2,-2.16,-10.1,2.85,0.04,4.3,-0.5,13,-2.4,3.87,-0.83);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4915','2019',806,158,24.4,94.3,16.4,21.1,11.7,-0.32,27.6,8.2,42.2,3.43,0.43,21.3,3.08,16.9,2.81,-0.15,4.8,0.68,15.4,1.66,4.7,-0.03);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4915','2018',648,40.7,6.7,77.9,3.09,4.14,12,-0.3,19.4,-2.57,-11.7,3,-0.62,18.3,-2.31,-11.2,2.95,-0.62,4.12,-0.55,13.7,-3.5,4.73,-1.06);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4915','2017',607,-35.9,-5.58,74.8,2.13,2.93,12.3,1.02,22,-1.74,-7.31,3.62,-0.07,20.6,1.23,6.38,3.57,0.39,4.67,0.27,17.2,0.91,5.79,0.6);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4915','2016',643,7.91,1.25,72.7,5.24,7.77,11.3,0.68,23.7,2.67,12.7,3.69,0.37,19.3,1.61,9.08,3.18,0.33,4.4,0.34,16.3,0.64,5.2,0.2);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4915','2015',635,113,21.6,67.4,5.24,8.43,10.6,-1.29,21.1,2.77,15.1,3.32,-0.19,17.7,2.28,14.8,2.86,-0.22,4.06,0.49,15.6,-2.38,4.99,-1.12);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('4915','2014',522,99.2,23.4,62.2,24.7,65.7,11.9,3.04,18.3,11.4,163,3.5,1.86,15.4,8.76,131,3.08,1.5,3.57,2.02,18,8.97,6.12,2.9);
