insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2527','24Q2',8.88,5.79,188,3.36,2.21,192,37.9,0.48,1.65,1.98,602,18.6,29.3,0.2,0.9,128,1.2,26.4,0.07,0.34,0.17,1.76,0.07,0.82);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2527','2023',23.2,9.27,66.8,6.75,1.22,22.1,29.2,-10.7,3.58,1.8,100,15.5,2.59,5.8,2.75,90.1,24.4,3.74,2.22,1.05,5.26,2.44,2.36,0.85);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2527','2022',13.9,-56,-80.1,5.53,-17.9,-76.4,39.8,6.29,1.79,-15.7,-89.8,12.9,-12.2,3.05,-13.1,-81.2,20.6,-2.34,1.17,-5.02,2.83,-14.1,1.52,-7.64);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2527','2021',69.9,35.2,101,23.4,12.7,118,33.5,2.51,17.5,12.3,236,25.1,10.1,16.2,12.3,314,22.9,12.2,6.19,4.7,16.9,12.5,9.16,7.02);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2527','2020',34.7,-29.5,-45.9,10.8,-4.99,-31.6,31,6.48,5.21,-3.62,-41,15,1.24,3.91,-3.51,-47.3,10.8,-0.53,1.49,-1.35,4.45,-4.93,2.13,-1.63);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2527','2019',64.2,18.8,41.3,15.8,2.78,21.4,24.6,-4.02,8.83,3.04,52.5,13.8,1.01,7.42,3.23,77.2,11.3,2.49,2.84,1.24,9.39,3.91,3.76,1.87);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2527','2018',45.4,43.6,2446,13,11.7,928,28.6,-42.2,5.79,6.39,1064,12.7,46.4,4.19,3.85,1132,8.81,-1.62,1.6,1.47,5.48,5.23,1.9,1.81);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2527','2017',1.78,-5.69,-76.1,1.26,-1.23,-49.4,70.8,37.4,-0.6,-1.11,-218,-33.7,-40.5,0.34,-0.3,-46.8,10.4,3.9,0.13,-0.11,0.25,-0.38,0.09,-0.18);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2527','2016',7.47,-22.1,-74.7,2.5,-3.41,-57.7,33.4,13.4,0.51,-2.87,-84.9,6.84,-4.6,0.64,-6.38,-90.9,6.53,-16.8,0.24,-2.44,0.63,-8.07,0.27,-3.98);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2527','2015',29.5,-20.2,-40.7,5.9,-5.04,-46,20,-1.99,3.38,-5.08,-60.1,11.4,-5.55,7.02,-1.83,-20.7,23.3,5.84,2.68,-0.7,8.7,-3.74,4.25,-1.26);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('2527','2014',49.8,25.9,108,10.9,4.73,76.3,22,-3.97,8.46,5.33,170,17,3.91,8.85,5.55,168,17.5,4.02,3.38,2.12,12.4,7.11,5.51,3.28);
