insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6215','24Q2',6.36,1.22,23.7,1.82,0.28,17.9,28.5,-1.4,0.3,0.2,209,4.67,2.8,0.84,0.26,46,13.1,1.97,1.01,0.32,11.2,3.37,8.82,2.81);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6215','2023',9.84,-8.2,-45.5,3.09,-2.21,-41.7,31.5,2.05,0.22,-1.82,-89.1,2.27,-9.06,0.79,-1.35,-63.2,8.07,-3.76,0.95,-1.63,5.29,-9.25,4.25,-6.39);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6215','2022',18,-1.59,-8.1,5.3,-0.31,-5.54,29.4,0.8,2.04,-0.06,-3.07,11.3,0.59,2.14,-0.51,-19.3,11.8,-1.68,2.58,-0.62,14.5,-5.98,10.6,-2.3);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6215','2021',19.6,3.59,22.4,5.61,1.68,42.8,28.6,4.08,2.11,1.38,189,10.7,6.19,2.65,1.86,235,13.5,8.59,3.2,2.24,20.5,13.7,12.9,9.1);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6215','2020',16,0.61,3.94,3.93,0.11,2.94,24.5,-0.24,0.73,0.21,39.8,4.55,1.17,0.79,0.3,60.5,4.93,1.78,0.96,0.36,6.83,2.71,3.83,1.53);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6215','2019',15.4,0.55,3.72,3.82,-0.21,-5.11,24.8,-2.3,0.52,-0.14,-20.9,3.39,-1.05,0.49,0,0.88,3.14,-0.12,0.6,0.01,4.12,-0.08,2.3,-0.03);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6215','2018',14.9,-1.29,-7.99,4.03,-0.18,-4.39,27.1,1.02,0.66,-0.06,-8.77,4.44,-0.04,0.49,-0.03,-6.52,3.27,0.03,0.59,-0.04,4.2,-0.37,2.33,-0.3);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6215','2017',16.2,0.19,1.2,4.21,-0.1,-2.31,26.1,-0.94,0.72,0.43,146,4.48,2.64,0.52,0.05,11.3,3.23,0.31,0.63,0.06,4.57,0.49,2.63,0.29);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6215','2016',16,-1.45,-8.31,4.31,-0.07,-1.57,27,1.85,0.29,-0.02,-5.2,1.84,0.06,0.47,0.21,77.8,2.92,1.44,0.57,0.25,4.08,1.89,2.35,1.15);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6215','2015',17.4,-2.57,-12.9,4.38,-0.92,-17.3,25.1,-1.36,0.31,-1.05,-77.3,1.78,-5.05,0.26,-1.01,-79.3,1.49,-4.92,0.32,-1.22,2.19,-8.78,1.2,-4.76);
insert into stocks_year_add (stock_no, year, op_income_amt, op_income_iod, op_income_iod_pct, op_gp_amt, op_gp_iod, op_gp_iod_pct, gp_margin_pct, gp_margin_iod, op_profit_amt, op_profit_iod, op_profit_iod_pct, profit_margin_pct, profit_margin_iod, net_profit_at_amt, net_profit_at_iod, net_profit_at_iod_pct, net_profit_pct, net_profit_pct_iod, eps, eps_iod, roe, roe_iod, roa, roa_iod) values ('6215','2014',20,5.39,36.9,5.3,1.94,57.9,26.5,3.52,1.36,1.2,746,6.83,5.72,1.28,1,363,6.41,4.51,1.54,1.21,11,8.44,5.96,4.66);
